YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
2018,"129,432","143,321","170,681","278,349","385,670","543,690","504,230","441,867","524,387","360,776","215,854","311,179","4,009,436"
2017,"120,025","119,421","166,793","302,553","471,844","565,702","633,351","615,892","566,279","429,827","217,927","127,276","4,336,890"
2016,"139,780","201,601","286,990","305,092","457,309","703,614","780,728","692,450","598,428","483,232","218,998","160,646","5,028,868"
2015,"128,318","135,316","194,667","281,328","408,121","545,231","626,009","636,936","527,402","357,223","169,425","140,241","4,150,217"
2014,"112,133","113,403","146,750","242,722","333,308","496,363","623,663","654,157","467,205","354,769","203,678","134,491","3,882,642"
2013,"103,910","114,440","165,409","231,178","370,422","508,941","611,538","552,137","460,855","279,526","161,356","131,479","3,691,191"
2012,"120,496","113,341","136,687","243,102","356,500","528,186","623,101","660,118","482,004","322,687","141,868","125,314","3,853,404"
2011,"100,718","93,588","100,433","231,372","356,588","503,741","704,553","699,749","533,502","360,449","139,079","127,621","3,951,398"
2010,"704,553","100,379","149,651","224,461","382,414","521,059","643,566","659,857","520,210","356,370","148,459","98,893","3,901,408"
2009,"101,984","78,795","132,711","230,828","399,683","483,382","586,591","643,300","471,530","346,826","151,297","110,545","3,737,472"
2008,"95,124","107,729","153,735","199,592","361,193","473,186","539,874","543,799","416,918","295,547","146,838","97,979","3,431,514"
